Date,IDStation,NameStation,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,BlackCarbon,Cadmium,CO,Lead,Nikel,NO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide
2018-01-10T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,1.8,NA,2.6,NA,NA,NA,NA,NA,42.1625,85.675,10.720833333333333,28,21,1.9541666666666666
2018-01-10T00:00:00Z,681,Moggio,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0,2.0166666666666666,1.575,78.1,6,3,NA
2018-01-10T00:00:00Z,642,Pavia Via Folperti,2.6,NA,1,NA,NA,NA,NA,NA,NA,NA,41.9875,75.575,4.829166666666667,30,24,7
2018-01-10T00:00:00Z,693,Sannazzaro De Burgondi Agip,4.1,NA,1.5,NA,NA,NA,NA,NA,NA,NA,28.308333333333334,32.81666666666667,NA,25,21,3.2916666666666665
2018-01-10T00:00:00Z,703,Schivenoglia,NA,NA,0.6,NA,NA,NA,1.1333333333333333,NA,NA,NA,28.341666666666665,39.75,14.333333333333334,28,28,2.495833333333333
2018-01-11T00:00:00Z,677,Cremona Via Fatebenefratelli,3.5,NA,NA,NA,NA,NA,0.5,NA,NA,NA,43.55416666666667,95.34166666666667,1.3916666666666666,40,33,2.3541666666666665
2018-01-11T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,2.8,NA,4.8,NA,NA,NA,NA,NA,44.708333333333336,129.72916666666666,3.870833333333333,47,33,2.720833333333333
2018-01-11T00:00:00Z,681,Moggio,1.4,NA,NA,NA,NA,NA,NA,NA,NA,0,2.183333333333333,2.3333333333333335,74.62083333333334,13,4,NA
2018-01-11T00:00:00Z,642,Pavia Via Folperti,1.7,NA,1.3,NA,NA,NA,NA,NA,NA,NA,43.62916666666667,118.025,1.1083333333333334,46,32,7.970833333333333
2018-01-11T00:00:00Z,693,Sannazzaro De Burgondi Agip,3.8,NA,2.1,NA,NA,NA,NA,NA,NA,NA,30.958333333333332,62.78333333333333,NA,33,28,4.158333333333333
2018-01-11T00:00:00Z,703,Schivenoglia,NA,NA,1,NA,NA,NA,1.2916666666666667,NA,NA,NA,35.27916666666667,62.46666666666667,3.470833333333333,41,35,3.0125
2018-01-12T00:00:00Z,677,Cremona Via Fatebenefratelli,3.4,NA,NA,NA,NA,NA,0.6875,NA,NA,NA,55.7625,240.68333333333334,9.1625,45,34,3.0791666666666666
2018-01-12T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3.6,NA,6,NA,NA,NA,NA,NA,49.00416666666666,NA,11.591666666666667,45,30,3.0083333333333333
2018-01-12T00:00:00Z,681,Moggio,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0.13333333333333333,4.925,6.958333333333333,66.72941176470589,13,10,NA
2018-01-12T00:00:00Z,642,Pavia Via Folperti,2.1,NA,1.3,NA,NA,NA,NA,NA,NA,NA,45.641666666666666,117.72083333333333,5.420833333333333,33,22,7.458333333333333
2018-01-12T00:00:00Z,693,Sannazzaro De Burgondi Agip,3.4,NA,1.8,NA,NA,NA,NA,NA,NA,NA,38.97083333333333,80.92916666666667,NA,29,26,3.845833333333333
2018-01-12T00:00:00Z,703,Schivenoglia,15.3,NA,0.6,NA,NA,NA,1.1333333333333333,NA,NA,NA,29.275,40.4625,16.516666666666666,26,20,2.341666666666667
2018-01-13T00:00:00Z,677,Cremona Via Fatebenefratelli,2.9,NA,NA,NA,NA,NA,0.8208333333333333,NA,NA,NA,51.12916666666667,184.2625,3.066666666666667,52,41,3.495833333333333
2018-01-13T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,4.3,NA,7.8,NA,NA,NA,NA,NA,61.295833333333334,NA,4.329166666666667,53,38,4.033333333333333
2018-01-13T00:00:00Z,681,Moggio,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0.025,3.7916666666666665,4.275,66.575,14,8,NA
2018-01-13T00:00:00Z,642,Pavia Via Folperti,1.8,NA,1.5,NA,NA,NA,NA,NA,NA,NA,49.17916666666667,136.925,5.5,45,32,8.595833333333333
2018-01-13T00:00:00Z,693,Sannazzaro De Burgondi Agip,3.2,NA,2.1,NA,NA,NA,NA,NA,NA,NA,31.395833333333332,65.12916666666666,NA,33,29,2.8041666666666667
2018-01-13T00:00:00Z,703,Schivenoglia,29.3,NA,1.2,NA,NA,NA,1.3499999999999999,NA,NA,NA,36.766666666666666,80.825,2.1083333333333334,47,40,2.5875
2018-01-14T00:00:00Z,677,Cremona Via Fatebenefratelli,4,NA,NA,NA,NA,NA,0.7416666666666667,NA,NA,NA,43.84583333333333,126.47916666666667,2.004166666666667,49,45,1.0916666666666668
2018-01-14T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3.5,NA,5.8,NA,NA,NA,NA,NA,39.61666666666667,117.18260869565218,8.433333333333334,51,40,2.4125
2018-01-14T00:00:00Z,681,Moggio,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.3333333333333333,5.525,7.733333333333333,55.62916666666666,25,19,NA
2018-01-14T00:00:00Z,642,Pavia Via Folperti,1.8,NA,1.8,NA,NA,NA,NA,NA,NA,NA,42.141666666666666,121.45833333333333,1.9416666666666667,47,34,8.254166666666666
2018-01-14T00:00:00Z,693,Sannazzaro De Burgondi Agip,2.5,NA,2.1,NA,NA,NA,NA,NA,NA,NA,34.7,58.3,NA,38,35,11.3375
2018-01-14T00:00:00Z,703,Schivenoglia,22.9,NA,1.1,NA,NA,NA,1.3083333333333333,NA,NA,NA,18.7875,44.74583333333333,8.854166666666666,37,36,2.658333333333333
2018-01-15T00:00:00Z,677,Cremona Via Fatebenefratelli,2,NA,NA,NA,NA,NA,0.6208333333333333,NA,NA,NA,44.69166666666667,104.97916666666667,1.9583333333333333,60,NA,1.1
2018-01-15T00:00:00Z,705,Milano Pascal Citta Studi,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,47.09166666666667,NA,2.4625,58,49,3.1333333333333333
